Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0402,3,10u,
"C10, C11, C6, C7",0402,4,100n,
C12,0402,1,15p,
C4,0402,1,1n,
C5,0402,1,4u7,
C8,0402,1,10n,
C9,0402,1,1u,
L1,0201,1,1.5u,
L2,L0402,1,BLM15AG601SN1D,C76884
R1,0201,1,1M,
R2,0201,1,10k,
U1,QFN-32_L5.0-W5.0-P0.50-BL-EP3.4,1,NAU88C22YG,C100123
"U2, U4",OPTO-SMD_12P_VL53L0CXV0DH-1,2,VL53L0CXV0DH/1,C91199
U3,DSBGA-12_L1.6-W1.2-R3-C4-P0.40-BL,1,TPS63051YFFR,C2879621
U5,BUZ-SMD_4P-L13.0-W13.0-P11.4-BL,1,KLJ-01304T-08R07W,C18186315
U6,AUDIO-SMD_PJ-327C-4A,1,PJ-327C-4A,C145813
U7,UFQFPN-32_L5.0-W5.0-P0.50-TL-EP3.5,1,STM32L432KBU6TR,C2928224
U9,USB-C-SMD_TYPE-C16PIN,1,TYPE-C16PIN,C393939
X1,OSC-SMD_4P-L3.2-W2.5-BL,1,OT32258MJBA4SL,C717687
